caseid,mobilpo_wparty_oth,postvote_presvtwho_oth,postvote_vtpresdec,postvote_prefprwho_oth,ofcrec_speaker,ofcrec_vp,ofcrec_pmuk,ofcrec_cj,mip_prob1,mip_prob2,mip_prob3,mip_mostprob,fairjob_opin_oth,abort_dpc4_oth,abort_rpc4_oth,abort_dem4_oth,abort_rep4_oth,aapost_hire_oth,cses_ptycont_oth,pohisp_hispnews_oth,pohisp_renglish_oth,pohisp_rspanish_oth,CASISTARTPO_IWRSET6
28,,,after republican primary,,Senator Minority Leader,Vice-President,DK,DK,high deficit,lack of jobs,big difference between the rich and the poor,difference between rich and poor,,,,,,,,,,,oats
29,,,3 weeks,,Senator,Democrat,Democrat,Republican,higher taxes and economy,the price of gas,sending our money overseas. they need to take care of problems over here,the money going overseas,,,,,,,,,,,egg
30,,,I had planned to reelect him all along esp. after the Republican primary and saw who their candidate,,He is the Speaker of the House.,Vice President,Diplomat Please note when I got to the next segment to look at page 1 R said that David Cameron is the Prime Minister of Britan,Justice on the Supreme Court,"Economics// It doesn't look like we are going to be on a positive trend to avoid an economic collapse in 2020. Congress is slowing down a process of repairing things in a great way. We don't have enough jobs because jobs have been sent overseas, Americans need work.",Race// It seems that America has become more racist since we got a Black President. It is ridiculous because it is a pigment and we are all people. // NO.,"Education// I think it has gotten poor in the past 20 years. I doesn't get enough funding, emphasis, and we are creating a generation that will be less educated than the rest of the world, we need good leaders and without education we are falling behind with the rest of the world.//NO.",Economics.,,,,,,,,,,,fruit and yogurt cereak toast eggs and meat
31,,,It was 11 months before the election.,,He is the majority leader for the House of Representatives,Vice President of the United States,Prime Minister of Great Britian,Supreme Court Justice,Unemployment. I really feel really strongly that the infrastruction has to grow. // The problem with unemployment is still the lack of jobs for the working class set because when they do not have jobs then that is when we really have a problem. The blue collar worker starts to get destructive when they don't have a job and we need to get the blue collar worker jobs to support their families.,Infrastructure. This really bothers me because we have had so many problems with the weather shifts and it shows in our bridges and highways. We need to pay attention to this because it would solve the problem with unemployment with blue collar workers if we dealt with this and created jobs. I feel that if you have good infraction that it will help with the economy and the transport of materials.,"Education.// Well, we have a large number of people falling through the cracks and we have a big shortage of people that can do the highly skilled jobs and we can not afford to have people that are illiterate. We need to have people that do the vocationsand they need to be treated that what they do is important. A strong economy flows from the bottom up and we need that base of the plumbers, blue collars workers. Reaching the level of education where you have a skill set is so important.",Unemployment. Idle hands in the devils playhouse. Unemployed people will find stuff to do and get into trouble. // Congress really needs to be looking at what is happening at the bottom level. The blue collar worker and give them an option for employmentand not a hand out of money.,I feel they should but not just for black people,,,,,"For me it is about skill set and I think that if a black person is extremely skilled they should be given a chance.At one place in my career, I did not get hired because I was black and I had to train someone else that got the job because they did not have the skill.",,,,,"eggs, bacon,grapes, wheat toast, coffee"
32,,,,,DK,DK,DK,DK,Budget cuts in schools. Gas Prices but at least it is going down. The war in Afganistan.,What happened to New York. WM. For the governnment to help them because of the diseaser so if they spent the money to help them it would be a good cause.,I can't think of anything besides what I told you. The war in Afganistan. Hopefully it will end and they will make peace.,Budget cuts in schools.,,,,,,,,,,,no breakfast just coffee
33,,,I always knew that I was going to vote for him. Just when he said he was going to run again I knew.,,Senate DK,Vice President,Congress DK,House of Representatives,Economics//It's not enough jobs for everyone and big business is taking their jobs outside of the United States.,Wars// Well not like other Countries the United States is always in some one else businss and those countries do not always like this and they are retaliating now.,"Religion//Like the Catholics, they been molesting kids and they need to take care of their own problems in their own Catholic communities and make those priests pay for those problems.",Economics,,,,,,,,,,,coffee
34,,,"Desde siempre nunca dudo en votar por el, ganara o perdiera.",,No tan bueno,Vice presidente,Senador,Senador,Economia / Educacion que esta muy mal,Salud,,La economia,,,,,,,,,,,"cafe y pan, avena"
35,,,,,Gobernador,No esta seguro,No tiene informacion sobre el,No se quien es el,El dar ayuda de mas a la gente.,El dispalfarro de dinero.,Las drogas tanto consumo.,El dispalfarro de dinero.,,,,,,,,,,,cafe
36,,Liberatarian candidate,I think it was a week before.,,I have the faintest idea.  I really don't watch the news too much.,I've heard of the name but that's about it.,"I have the faintest idea.  No I haven't a clue who he is, I have been in [REDACTED DETAILS] for two months only.","I haven't a clue, I've been more preocupied with looking for a job than the election.","The economy, it has gone down hill and hasn't seen more change for the lower income and they've been paying more taxes, it happens every election//no","The deficit, it keeps getting higher and higher//they need to quit orrowing from other programs to ease the deficit because it keeps putting us more in debt//I'm done with that","Fuel, gas prices.  Since the 70's it has nothing but get worse with all the individual state taxes plus the city taxes the lower income and the working class are the one who suffer the most//Larger cities are not the only ones in the states, small citiesare the one who suffer the most with fuel prices, they never get a break//Outside of larger cities, smaller towns and cities gas prices are usually ten cents above national prices//a friend of mine who leaves in Mohave is paying $4.34 and right here is $3.97, see the big difference?//yes",The economy,,,,,,,,,,,Hot cup of tea
37,,,one week before elections.,,President of house of representatives.,Vicepresident.,DK,DK,The Economy .,,,,,,,,,,,,,,no
38,,,,,I'm not sure//US Senate?,I'm going to guess House of Representatives?,I'm going to guess House of Representatives?,House of Representatives?,Economy//it's losing jobs and cutting budgets,War//we're having war for minor issues and killing too many inocent people,,The economy,,,,,,,,,,,yoshinoya's beef bowl
39,,,The begining of the year,,I don't know//I have no idea,Vice-president,I don't know//Secretary of state?,I don't know//I can't think of anything,The cost of living//everything is getting too expensive,Unemployment//It's hard to find a job,Medical cost//Even if you have insurance you still have to pay a lot of money,Unemployment,,,,,,,,,,,toast
40,,,,,dk,dk,dk,dk,jobs//there cutting down alot of jobs,,,,,,,,,,,,,,nothing
41,,,Three years ago,,Speaker,Vice-president,I don't know//dk,I don't know//Supreme Court,Unemployment//We're completely out of control with the people out of work.  We're not doing enough to create jobs,"Raising taxes on Americans//raising taxes on people making over 250,000 is suposed to help us reduce the deficit, it will have the opposite effect. More peopke working, and subsequently paying taxes will reduce the deficit  an equal share","Too much government losing our freedoms//pres Obama is creating a nation dependent people, welfare and unemployment have been extended none of them will vote against someone giving them handouts",Unemployment and the deficit,,,,,,,,,,,2 tacos
42,,,"Pretty much the whole time, I've always known",,"I don't know him, probably some congressman, I don't know.",Vice-president,"There's a Cameron in the Uk, I don't know if his name is David//",I don't know//Congress,"Economy//is the worst economy in my lifetime and I am [REDACTED AGE]. It has given a low morality in the middle class.  Certain laws have to be abolished or rewritten for small business to succeed//and for certain there has to be more anti-monoply laws, there is an imbalance of anti-monopoly laws, for example in Arkansas, where there is no other business but Walmart, they drive small businessmen out of bisiness","Our national safety, the war and trying to find resolve with the war and bring the soldiers home but having a strong presence in the Middle East which is still unstable","I think that the country is divided in its political views, and there's no common ground and there's a big diaparity between them, so for a nation to heal we have to find common interest and work together//","The economy without a doubt, we have to put people back to work",,,,,,,,,,,"I didn't eat breakfast, just drank coffee."
43,,,I have always known I was ging to vote for him,,I don't know//Senate? I have no idea,Vice-president,"I don't know//I'll say the Senate again, I have no idea",Gosh I don't know any of these//a council member? I have no idea,"The economy//We're still getting ourselves out of a rescesion, the job market, housing",Education//Lack of funding,"Issues with the military, other countries//National defense to keep our country safe",The economy,,,,,,,,,,,coffee
44,,,Probably a year,,Speaker of the House,Vice-president,I don't know who he is//Senator?,Chief Justice of the Supreme Court,"Taxes//People are very leary of hiring until they know what's going to happen, it's putting people's hiring decisions on hold",Jobs//There's so many people on unemployment and so many people who are self-employed that business is very slow,Our military//better treatment for our veterans,Unemployment,,,,,,,,,,,nothing
45,,,As soon as the election began,,I don't know//I don't know,Vice-president,No idea//couldn't guess,Not a clue//that's unfortunate but it's true//,The economy//it's not getting any better and there's a lot of people out of work and Unions are a part of that,The welfare system is out of control in my opinion,The trillions of dollars in debt that we are in,The economy,,,,,,,,,,,del taco
46,,,"2 months, afte the primary",,Dk//I have no clue,Vice-president,No idea//No,No//No,"Economy//Is going worse since Obama was elected my husband's business has gone down the hill, I should say re-elected","Parent's rights//Parents need to retain the right to decide what is better for their children, eduationally, medically and socially, really all areas but those are the first that came to my mind","Religious freedom//people need to have the right to believe right from wrong without calling it hate speech, and also not have to violate their concience regarding ie abortion","They're all important, I think religious freedom, that affects everything else",,,,,,,,,,,rice krispies
47,,,About nine months,,House of Representatives,Vice-president,No idea//Democratic House of representatives,Senator?,"Interest rates//They've been kept low for so long, inflation is going to skyrocket","Healthcare reform//just the government deciding what's best for patients, I think is inappropiate",Gas prices//gas dependancy and natural fuel dependancy,Inflation,,,,,,,,,,,eggs
48,,,4 yrs ago,,majority leader for the house,court jester vice president,minority whip,dk,economy//it sucks//theres no direction for rrecovery//,social secrogations//were divided in a social-eco//,"national dept//nobody wants to bring it under control,this administration just want to spend and spend how can add 4 trillion dollars in one term,how do u do that//",economy,,,,,,,,,,,nothing
49,,,,,I don't know,Vice President,I don't know,I DK,our budget; how it's managed,healthcare; how it's managed,no other,our budget,,,,,,,,,,,toast
50,,,Since it started.,,House majority leader.,Vice President,Not a clue of who he is.,I really do not know.,Economy,Unemployment,The military,Economy,,,,,,,,,,,eggs &sausage
51,,,2 months ago,,dk,VP,dk,dk,deficit,unemployment,social security; been borrowing from ss to give to people who havent contributed,deficit,,,,,,,,,,,breakfast burrito
52,,,,,dk,VP,dk,dk,financial; serious debt,defense; we need to stay ahead,,our financial debt,,,,,,,,,,,food
53,,Gary Johnson,2 mos after Ron Paul wasn't going to be selected,,dk,vice pres,dk,dk,the way that our govt is run by corporations and for corporations and not for the people;,I think that us losing our rights; ie peaceful protesting,corporations running our food supply; the issue of GMO's and privatizing our food supply,"how our country is totally run by corporations, banks and wall street",,,,,,,,,,,eggs
54,,,6 mos,,dk,vpres,dk,dk,money; debt,ending the war,,the war,,,,,,,,,,,cereal
55,,,,,dog catcher,vice president,sewage inspector,enviromental protection agency,"jobs,there not enough of them they\are out sourcing instead of building things in america like it use to be,we use to the top manufacting of all time now it all made in other countries","housing market// they put out all those loans know dam well that they couldnt affford all these house they are buying,and now my house is not worth what i am paying for it,there helping all the people who are losing there house that can afford it,and they have very few programs for the people who do pay on time,we should be reward for doing the rights, not being punished,","education// i dont think they are providing our amercian child with enough insentive to go to college,tuition is to high i work everyday i cant afford to go to college","jobs,becuase jobs create income to buy house,put our child thru school,and keep manufacturing in amercia",,,,,,,,,,,nothing
56,,,,,vice president,dk,secretary of treasury,house speaker,unemployment keeping the american companies home not over seas//,"health care,we need more hospitals,getting more care for elderly people","education// we need people in school ,children in school so they wont be asking for welfare,not committ crimes, because educated//",unemployment,,,,,,,,,,,mike and eggs
57,,,,,dk,vice president,dk,dk,"economy,it is not moving,there are no jobs",security because of drugs that come from mexico and the terrorism//,"people that are going to be left with out a home because of the problems the mortage,because of lack of work",economy,,,,,,,,,,,rollo con vegetales y pollo
58,,,,,dk,dk,dk,dk,"the authority get to involved in the authority of parent in raising kids and family, so the country go hell and it all starts at school","you dont get the freedom that everybody talks about too much control//to many rules and too many laws,like aprk your care in your own yard, they are alway ook for ways to benefit them selfs not us","too many taxes,to high so they dont let you do anything//",raising families,,,,,,,,,,,ham and eggs
59,,,months,,House of Respresentatives,Vice President,DK,DK,The economy,unemployment,Womens rights,economy,,,,,,,,,,,banana
60,,,Always knew I was going to vote for Obama again,,Leader of the House,Vice President,"England, Prime Minister",Supreme Court,The unemployement too many unemployed workers which affects the budget and everything in the US,The budget our deficit financila deficit in the country,Housing situation but it's improving,deficit,,,,,,,,,,,eggs
61,,,Since the last election,,DK,Vice worthless President,DK,dk,Our economy,Our President,Welfare,The President,,,,,,,,,,,nothing
62,,,8 years ago,,Speaker of the ouse,Vice President,Prime Minister of England,DK,"Congress, not playing ball with the rest of the world",Getting the economy going,Tea Party,Tea Party,,,,,,,,,,,oatmeal
63,,,,,Republican Senator,Vice President,Heard the name DK,Republican Judge,Divided parites partisanship,"Oil, energy, we are not investing enough money into alternative energy","Jobs, looks like they aren't hiring the right people there is lots of unemployment",energy,,,,,,,,,,,yogert
64,,,4 months,,DK,Vice President,DK,DK,The economy,Foreign policy,Poverty,Economy,,,,,,,,,,,ham
65,,,,,Congressman,Vice President,DK,DK,Economy,National Party,Foreign Affairs,Economy,,,,,,,,,,,nothing
66,,,,,DK,dk,DK,DK,We are in big debt,"We have so much and others have nothing and humanity should help each other and we have too much like look at obesity,we are all far from each other and we are so far from each other and technology makes us farther from each other and we split each otherin to classes","We are falling apart just like Germany and before you fall apart, like Rome, our entertainment is like the Romans watching the lions eat people is like American Idol watching them being destroyed, all we do is work until you are almost dead",How we are becoming farther from self and falling apart,,,,,,,,,,,bacon
67,,,From the beginning,,Speaker of the House on Republican side,Vice President,DK,dk,the division in politice a stalemate and nothing gets accomplished,dealing with pettiness in issues,Financial problem and unfairness in taxes,Stalemate,,,,,,,,,,,p0ached egg
68,,,,,DK,Vice Pres,DK,senator,unemployment,immigration - we need reform,problems with other countries,unemployment,,,,,,,,,,,"Nothing yet, but I will eat eggs/pancakes"
69,,,,,DK,DK,DK,DK,there aren't any jobs,the war,can't think of another one,the job problem,,,,,,,,,,,soup
70,,,,,DK,senator,senator,DK,peace in the world,countries like China are trying to get power,budget problem,budget problem,,,,,,,,,,,nothing
71,,,1 month,,DK,DK,DK,DK,our deficit in China,homeless people they are everywhere,employment - jobs,employability,,,,,,,,,,,eggs
72,,,one yr,,leader of republican party,vice pres,DK,judge,economy in general,immigration,trade - we import more than we export,economy,,,,,,,,,,,eggs
73,,,3 yrs,,Speaker of the House,Vice Pres,DK,Supreme Court Chief Justice,the defecit,health care,tax reform,deficit,,,,,,,,,,,nothing
74,,,,,DK,Vice Pres,DK,DK,"jobs, lack of",everything,no,lack of jobs,,,,,,,,,,,eggs
75,,,From very beginning,,something financial,Vice-President,DK,DK,"R - Our debt, how much the US gov't owes.",R - Our reliance on the middle East for fuel.,R - The whole gov't is corrup t and doen't work efficiently,R - Probably the last...the sytem just isn't working well.,,,,,,,,,,,yes
76,,,Weeks,,DK,DK,DK,DK,"R - The economy, new policy like Obamacare",R - Foreign affairs and what could potentially happen on an ongoing basis.,R - No,"R - Financial impact on the economy and jobs, the lack thereof.",,,,,,,,,,,bread
77,,,12 months,,DK,Vice President,DK,Supreme Court Judge,The President and Congress are trying to change the Constitution.,The President and Congress are trying to take our rights away.,Our military needs to be supported more than it is right now.,The military.,,,,,,,,,,,granola bar
78,,,,,dk,dk,dk,dk,Welfare,war,unemployment rate,war,,,,,,,,,,,english muffin
79,,,6 mmonths,,dk,vice prestdent,chief justice,kn,financial stabpiity,terrorism threats,,financial crisis the state of econoy is in//,,,,,,,,,,,ccofffee
80,,,,,dk//,democratic vice president,dk/independant,kn//,a the topic of abortion,military// leave,healthcare cost,cost of healthcare,,,,,,,,,,,toast
81,,,4 years prior,,speaker of the house,vice president,dk,supreme court judge,excessive consentration of wealth,tax code//,healthpolicy,consentration of wealth,,,,,,,,,,,cereal
82,,,,,,,,,,,,,,,,,,,,,,,
83,,,6 months,,speaker of the house of representatives,vice president,prime minister of great britain,chief justice surpreme court,economy,taxation,keeping Iran from getting a Nucler bomb,economy,,,,,,,,,,,A bowl of cereal.
84,,,,,Chief justice of court,vce president,DK,dk,economy//gas price issue//healthcare is an issue obama care will not fx it we will pay for the uninsured// nothing else,us dollar// money isn't worth a dollar// nothing else,no,jobs,,,,,,,,,,,
85,,,,,Speaker of the house,vice president,UNK,Surprem ct justice,economy,forign affairs,,economy,,,,,,,,,,,fruit
86,,,a year,,house of representatives,vice president,DK//DK,DK//DK,lack of jobs,the fact that nothing can get done in the federal government,economy that is the worst thing//jobs are going overseas.  We need to start building the infrastructure and start paying people -big business needs to start paying people more money,overseas jobs - our work going overseas,,,,,,,,,,,pizza
87,,,,,DK,Vice President,DK,DK,Jobs. Not enough jobs.,Education funding.,,Jobs,,,,,,,,,,,bacon and eggs
88,,,,,DK,Senate,DK,DK,"The economy. The jobs, loss of jobs, unemployment.","Helping with the lower class, welfare.",,The unemployment,,,,,,,,,,,I ate smacks cereal
89,,Gary Johnson,1 week,,House of Representatives,Vice President,DK,DK,The deficit. They are not doing enough or taking the correct route to bring us out of debt.,,,,,,,,,,,,,,food
90,,,6 months,,Senator,Vice President,Representative,Senator,Lack of jobs,Threat of terrorism,,Jobs,,,,,,,,,,,none
91,,,4 years,,Speaker of the House,Vice president,DK,Supreme Court Justice,National debt - federal govt refuses to curb spending.,Need for becoming more fuel self sufficient - using our own natureal resources for fuel.,Restricting our borders; enforcing our border and immigration laws,National debt,,,,,,,,,,,toast & oj
92,,,All along I knew who I was voting for,,Head of the Senate,Vice President,DK,Supreme Court,"Jobs, work for people, unemployment",I think it's sad if they cut the military. You have to have a strong military to have a strong country.,"Lack of hope. Financially, people are reallly worried.",Probably the ubnemployemnt,,,,,,,,,,,ccereal
93,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,DK,Vice president,DK,DK,unemployment rate,national debt,cost of health care,unemployment rate,,,,,,,,,,,dounuts
95,,,,,majority House of Representatives speaker,Vice president,DK,supreme court judge,economy,immigration:  unwillingness of the federal government to prosecute illegals,federal government spending,federal government spending,,,,,,,,,,,nothing
96,,,,,DK,Vice President,DK,DK,lack of unity,prejudice,"lack of money,  the Republicans don't want to release it",prejudice,,,,,,,,,,,apple and coffee toast
97,,,since the primaries,,DK,vice president,white house public relations,DK,the economy,unemployment,"the opinion of the US that is held throughout the world,  we need to improve our standing",unemployment,,,,,,,,,,,pasta
98,,,"from day one, from the day Mitt Romney announced his candidancy",,DK,vice president,DK,DK,the economy,,,,,,,,,,,,,,nothing
99,,,,,"Republican, in DC",Vice president,DK,DK,economy,,,,,,,,,,,,,,cereal
100,,,2 weeks prior to the election,,he might be in the House,vice president,no idea  DK,DK,economy of the country and abuse of some of the entitlement programs like welfare,,,,,,,,,,,,,,nothing
101,,,one year,,speaker of the house,vice president,DK,Supreme Court,the economy,unemployment,too much downsizing of the military,the economy,I don't think this is an issue at all,,,,,,,,,,fdf
102,,,two years ago,,DK,vice president,DK,DK,ntional security,"the economy,  the financial crisis",moral decline of the counry,the economy,,,,,,,,,,,waffels
103,,,at least a month,,"I recognize the name, but don't know what he does",vice president,DK,DK,not enough jobs,don't like the way the health care is designed,,health care is not beneficial,,,,,,,,,,,nothing
104,,,since the campaign for Mitt Romney started,,DK,vice president,DK,DK,the economy,federal budget,defense spending cuts,the economy,,,,,,,,,,,A banana.
105,,,4YRS AGO,,THE SPEAKER OF THE HOUSE FOR THE REPRESENTATIVE,VICE PRESIDENT,DON'T KNOW,HEAD OF THE SUPREME COURT,"DEBT, 16+ TRILLION DOLLARS WE OWE AND WE DON'T HAVE ENOUGH TO REPAY IT.","ABORTION, KILLING A HUMAN BEING. I BELIEVE LIFE BEGINS AT CONCEPTION.","GAY MARRIAGE, BIBLE SAYS THAT IF A MAN LAYS WITH A MAN AS HE LAYS WITH A WOMAN, IT IS AN ABOMINATION IN GOD SITE.",THE DEBT.,,,,,,,,,,,RAISEN BRAND
106,,,A few days before the election.,,PARTY LEADER FOR REPUBLICAN PARTY.,VICE PRESIDENT,DON'T KNOW,DON'T KNOW,"THE ECONOMY, the housing market is extremely flat, and until we have a houing rebound, there will not be any housing rebound to no degree.","HEALTH CARE, Poor people are neglected,  and  people who need health care is not available to them.","INTERNATIONAL RELATIONS, I THINK ESPECIALLY IN THE EASTERN HEMISPHERE THAT WE ARE VIEWED AS THE POLICE AND MANY OF THE PEOPLE IN THE HEMISPHERE DO NOT RESPECT US FOR IMPOSING OUR POLITICAL, SOCIAL,  and  RELIGIOUS VIEWS ON THEM. WE ARE NOSIE MEADLOWS.",THE ECONOMY,,,,,,,,,,,QUICHE AND FRUIT COFFEE TOAST
107,,,A MONTH OR SO,,DK,VICE PRESIDENT,DK,DK,"JOBS, WE NEED MORE JOBS.",,,,,,,,,,,,,,SANDWICH
108,,,4 years ago,,THE MAJORITY LEADER IN THE US HOUSE OF REPRESENTATIVES.,VICE PRESIDENT OF THE UNITED STATED OF AMERICA,PRESIDENT IN ENGLAND,A REPORTER,WE HAVE GOTEN COMPLACENT AND AMERICAN NEED MORE TO DRIVE THEM.,"ECONOMY, WE GOT TO PUT PEOPLE BACK TO WORK.","HOUSING PROBLEM, WELL NOW THAT HOUSING IS DEMINISHING OR THEY ARE NOT BUILDING ENOUGH HOMES WHICH AFFECT A LOT OF THE STAKE HOLDERS SUCH AS CABINET MAKERS, CEMENT, ROOFERS AND CONSTRUCTION ALL OVER. SUPPLIERS IN GENERAL",THE ECONOMY,,,,,,,,,,,ORANGE JUICE AND A BISCUIT
109,,,,,,,,,,,,,,,,,,,,,,,
110,,,2 months,,DK,DK,DK,DK,BASICALLY WE HAVE LOW INCOME FAMILIES SUFFERING AND WE HAVE TO SUFFER MORE NOW. THE u.S. IS IN DEBT AND THEY ARE TRYING TO FIND A WAY TO GET OUT OF DEBT AND THAT IS GOING TO HURT EVERYONE MORE NOW.,"JOBS, THE ECONOMY  and  JOBS. THERE ARE NO JOBS. THE LOWER CLASS IS ALREADY POOR, WITH NO JOBS ITS EVEN WORST. THERE WILL BE A LOT OF RIOTS AND THINGS GOIN ON AFTER WHILE. PEOPLE WILL TRY TO SURVIVE THE BEST WAY THEY CAN.",FORECLOSURES. MY HOUSE IS UP FOR FORECLOSURE AND NOW I HAVE TO MOVE. THERE SHOULD BE MORE WARNING ABOUT RENTALS LIVING IN FORECLOSURE HOUSES. WE SHOULD KNOW THAT HOUSES ARE UP FOR FORECLOSURE. WE SHOULD HAVE THAT INFORMATION TOO.,JOBS,,,,,,NEITHER,,,,,GRITS AND EGGS WITH SAUSAGE
111,,,I already knew. Maybe 4 years ago,,dk,Vice President,DK,DK,"Jobs, one they have the jobs overseas,  and  [REDACTED DETAILS]  with felony is hard for them to get jobs;// No","When we try to interfer with other countries, I think that we need to mind our own business. I know other countries expect us to help them, but we need to protect ourselves.// No","The level of disrespect thye have for the president  and  education, we have to  educate American.  We do not keep up with China. americans are not learning as fast as other countries, because the other countries children go to school year round. They require more. Our public school do not have the equipment they need and they are not challenging the kids.// No",First and foremost I don't think no one should disrespect the Commander in Chief. It starts there.,,,,,,,,,,,sausage biscuit and orange
112,,,I KNEW ALL THE LONG I WAS GOING TO VOTE THAT WAY. EVERY SINCE THE START OF THE ELECTION AGAIN.,,DK,DK,DK,DK,"JOBS, JOBS ARE KIND OF SLOW, BUT IT IS COMING BACK. A LOT OF PEOPLE WORRY ABOUT TAKING CARE OF THEIR FAMILIES AND THAT IS A MAJOR ISSUE.",,,,,,,,,,,,,,"PORK CHOP, & COFFEE"
113,,,"from the beginning, from the time he decided to run for a second term.",,SENATOR,VICE PRESIDENT,HOUSE OF REPRESENTATIVE,GOVERNOR,THE ECONOMY CRISIS,,,,,,,,,,,,,,NOTHING
